sentiment, tweet ,,,,,
1, Very exciting news for the Phoenix area—@USDOT is committing $100M to @valleymetro for a 5.5-mile light rail system with 9 new stations connecting underserved areas to churches emergency services and more!,,,,,
1, https://t.co/STCgxGezrQ,,,,,
1, https://t.co/JFXFOtfDGS,,,,,
1, RT @WhiteHouse: The Trump Administration is making sure your taxpayer dollars don't go to social media giants that unfairly repress free sp…,,,,,
2, RT @WhiteHouse: President @realDonaldTrump is directing the Attorney General to work with states to enforce their laws against deceptive bu…,,,,,
2," RT @WhiteHouse: ""Today I am signing an Executive Order to protect and uphold the free speech and rights of the American people."" https://t…",,,,,
1, RT @WhiteHouse: President @realDonaldTrump just took executive action to fight online censorship by tech corporations including social med…,,,,,
2, So ridiculous to see Twitter trying to make the case that Mail-In Ballots are not subject to FRAUD. How stupid there are examples &amp; cases all over the place. Our election process will become badly tainted &amp; a laughingstock all over the World. Tell that to your hater @yoyoel,,,,,
2, The men and women of the National Guard have been doing a great job fighting the CoronaVirus. This week I will extend their Title 32 orders through mid-August so they can continue to help States succeed in their response and recovery efforts.,,,,,
1, Thank you to our GREAT Republican Congressmen &amp; Congresswomen on your incredibly important blockage last night of a FISA Bill that would just perpetuate the abuse that produced the Greatest Political Crime In the History of the U.S. the Russian Witch-Hunt. Fantastic Job!,,,,,
1, All over the World the CoronaVirus a very bad “gift” from China marches on. Not good!,,,,,
1, We have just reached a very sad milestone with the coronavirus pandemic deaths reaching 100000. To all of the families &amp; friends of those who have passed I want to extend my heartfelt sympathy &amp; love for everything that these great people stood for &amp; represent. God be with you!,,,,,
2, This will be a Big Day for Social Media and FAIRNESS!,,,,,
0, RT @Repeoplecan: @GreggJarrett https://t.co/G61NvyWVG9Special Counsel was a Coup Plot created through leaking lies and falsifying evidence…,,,,,
2," RT @randell_young: @GreggJarrett Everyone who knew there was no evidence of Trump-Russia collusion also knew the #ObamaGate ""investigations…",,,,,
0, RT @MarieLeff: @GreggJarrett Rice's last minute email was a setup to frame Comey. Couldn't happen to a better leaker &amp; liar... lock him up…,,,,,
2, RT @MarieLeff: @GreggJarrett Also the plot thickens. Will Comey spend years in jail &amp; admit his illegal acts or like the weasel he is s…,,,,,
1, RT @RomanEcho: @GreggJarrett @Comey When J. Edgar @Comey 🤡 sent @petestrzok &amp; Pientka to the WH to ambush @GenFlynn then bragged about it w…,,,,,
1, RT @GreggJarrett: https://t.co/7ojhuDtRAD,,,,,
2, RT @GreggJarrett: Trump attorney accuses Mueller of ‘monstrous lie and scheme to defraud’ https://t.co/xxY6CkHoWv,,,,,
2, RT @VicToensing: Reason @AGWilliamBarr says he“does not expect”Obama/Biden to be investigated is not related to whether they committed crim…,,,,,
0, RT @VicToensing: Does Judge Sullivan read SupCt decisions? Last week SupCt held using amici was “drastic departure” and “abuse of discretio…,,,,,
1, RT @VicToensing: Let me get this straight. @GenFlynn was broke from legal fees and FBI threatened to prosecute his son if he did not plead…,,,,,
1, RT @VicToensing: Great American: @RichardGrenell declassifying @GenFlynn Kislyak conversations. How cld Mueller accuse Flynn of lying abou…,,,,,
2, So many different viewpoints! https://t.co/DCesPbJu5M,,,,,
2, RT @BarbaraRedgate: The Obama/Clinton Cabal Knew They Had To Stop General Mike Flynn First! OR They Would ALL Be Locked Up By NOW! @realDon…,,,,,
2, RT @EliseStefanik: Thanks for the clarification @jack This makes YOU accountable for allowing the Chinese Communist Party to abuse this s…,,,,,
2, RT @realDonaldTrump: New papers make CLEAR that the Obama Administration SPIED in an unprecedented manner on the Trump Campaign and beyon…,,,,,
2, RT @RichardGrenell: After spending years peddling a Russian collusion hoax but under oath admitting you saw NOTHING forgive us if we igno…,,,,,
0, @USAttyHuber Whatever happen to John Huber?,,,,,
2, RT @VicToensing: Of course Sidney is right on. #ObamaGate #maga,,,,,
0, RT @VicToensing: For over 3 years MSM including NYT and WP have been writing about what @GenFlynn discussed with Amb. Kislyak. But they h…,,,,,
1, The greatest political crime in USA History! https://t.co/kyPZwHsBDQ,,,,,
0, Yet she doesn’t let people even breath in Michigan. A very bad double standard! https://t.co/A60YxvWFGv,,,,,
2, RT @GreggJarrett: Former CBS Reporter One Of The First ‘To Identify Myself As A Target of Illegal Spying Under Obama Admin’ https://t.co/VQ…,,,,,
2, Trump on Russia Hoax: ‘When the Papers Come Out’ We Will Learn Obama ‘Knew Everything’ https://t.co/cugnMv1RuO,,,,,
1, RT @SidneyPowell1: #Mueller investigation viewed exposure of truth as #ObstructionOfJustice.It was all so corrupt.and so wrong.What liars…,,,,,
2, Thank you Cowboys. See you in New Mexico! https://t.co/aCRJeskUA8,,,,,
1, RT @CherokeeOwl: Joe you lost the Black Vote with a stupid comment- now you’ve lost the Latino Vote with this gaff👇👇Latinos don’t like to…,,,,,
1, RT @ConservaMomUSA: @realDonaldTrump Hey @Jack- while you’re at it- can you #FactCheck all #FISA applications?#SpyGate#ObamaGate#Trump20…,,,,,
1, RT @sxdoc: FBI Director Wray opens “internal review” into how bureau handled Michael Flynn casehttps://t.co/Sa8nSBl0nrLou Dobbs/ Tom Fitt…,,,,,
1, He looks better! https://t.co/qzxn6Svlpc,,,,,
2, RT @LindaSuhler: @realDonaldTrump @LouDobbs Absolutely 100% the greatest President in history!  Thank you Lou Dobbs!,,,,,
1, RT @realDonaldTrump: Sean Parnell is an American Hero. Conor Lamb has proven to be an American fraud and a puppet for Crazy Nancy Pelosi.…,,,,,
1, RT @SeanParnellUSA: Talked with @PeteHegseth this morning about the urgency of reopening #PA safely @realDonaldTrump’s incredible endorsem…,,,,,
1," RT @SaraCarterDC: .@SeanParnellUSA Says Trump's Endorsement Is A 'tremendous honor' ""I left the military with next to nothing. A decade l…",,,,,
1, Thank you Lou! https://t.co/edjugpzH0i,,,,,
2, Who else gave the less than elite (We are the elite. We know how to WIN!) 260 great new Federal Judges 2 SCJ’s Low Taxes biggest ever REG. CUTS Rebuilt Military Choice saved 2A &amp; MUCH more? Not Sleepy Joe! Thank you Erick. https://t.co/wSabyoJ2GT,,,,,
2, RT @mrddmia: Cheers to the Arizona Attorney General (@GeneralBrnovich) for stepping up and protecting Arizonans from trillion-dollar monopo…,,,,,
2, RT @EWErickson: Rush Limbaugh gets an extraordinary amount of hate from people who failed in the talk radio business.  These same people ar…,,,,,
2, RT @LoganDobson: An obviously true statement that will nevertheless drive people on the internet insane: “Zuckerberg says private compani…,,,,,
2, Texas Supreme Court: Lack of immunity to COVID-19 alone not enough to vote by mail https://t.co/rAZVRF4nkj  Big win in Texas on the dangerous Mail In Voting Scam!,,,,,
1, RT @McAllisterDen: If you have time today please pray for Rush Limbaugh and his family—strength peace comfort and healing according to G…,,,,,
2, Big Tech is doing everything in their very considerable power to CENSOR in advance of the 2020 Election. If that happens we no longer have our freedom. I will never let it happen! They tried hard in 2016 and lost. Now they are going absolutely CRAZY. Stay Tuned!!!,,,,,
1, https://t.co/xz1FUpr6p0,,,,,
1, https://t.co/cYPjbISml3,,,,,
2, He is arguably the greatest president in our history.” Thank you @LouDobbs! https://t.co/6dfy0yxu9l,5/27/20 22:58,18223,71416,FALSE,1.26578E+18
2, RT @thehill: Trump blasts California over mail-in voting following Republican lawsuit https://t.co/L6lFXo1woT https://t.co/nkmX4KLETO,,,,,
0, Congratulations to author Nick Adams on the @simonschuster publication of your new book “Trump and Churchill Defenders of Western Civilization”. Certainly a great honor to be compared in any way to Winston Churchill.  @NickAdamsinUSA,,,,,
1, The Failing @nytimes winner of @PulitzerPrizes for its totally flawed coverage of the illegal Russia Witch Hunt does its research as follows: Think of the absolute worst things you can say about Donald J. Trump pretend there are sources and just say it. RETURN THE PULITZERS!,,,,,
2, RT @realDonaldTrump: Stock Market up BIG DOW crosses 25000. S&amp;P 500 over 3000. States should open up ASAP. The Transition to Greatness ha…,,,,,
1, Great News: The boring but very nasty magazine The Atlantic is rapidly failing going down the tubes and has just been forced to announce it is laying off at least 20% of its staff in order to limp into the future. This is a tough time to be in the Fake News Business!,,,,,
0, .@Twitter is now interfering in the 2020 Presidential Election. They are saying my statement on Mail-In Ballots which will lead to massive corruption and fraud is incorrect based on fact-checking by Fake News CNN and the Amazon Washington Post....,,,,,
2, ....Twitter is completely stifling FREE SPEECH and I as President will not allow it to happen!,,,,,
0, I hope all Republican House Members vote NO on FISA until such time as our Country is able to determine how and why the greatest political criminal and subversive scandal in USA history took place!,,,,,
2, RT @WhiteHouse: LIVE: President Trump Delivers Remarks on Protecting Seniors https://t.co/mZgZeor5pL,,,,,
2, Didn’t Obama whose Administration has now been caught cold illegally spying on the Trump campaign recently also get caught playing golf on a course in Virginia despite his wife Michelle urging people to stay home before and after his round in a major public service message?,,,,,
2, ....A total double standard. The only thing the Dems have going for them is their very close relationship with the Fake News Lamestream Media!,,,,,
2, How brilliant are our FARMERS? Thank you @lgutwein99_31 real talent! #MAGA https://t.co/mtzbqUFd1V,,,,,
2, ....One person lost to this invisible virus is too much it should have been stopped at its source China but I acted very quickly and made the right decisions. Many of the current political complainers thought at the time that I was moving far to fast like Crazy Nancy!,,,,,
1, For all of the political hacks out there if I hadn’t done my job well &amp; early we would have lost 1 1/2 to 2 Million People as opposed to the 100000 plus that looks like will be the number. That’s 15 to 20 times more than we will lose. I shut down entry from China very early!,,,,,
2, We made most Governors look very good even great by getting them the Ventilators unlimited Testing and supplies all of which they should have had in their own stockpiles. So they look great and I just keep rolling along doing great things and getting Fake Lamestream News!,,,,,
2, Stock Market up BIG DOW crosses 25000. S&amp;P 500 over 3000. States should open up ASAP. The Transition to Greatness has started ahead of schedule. There will be ups and downs but next year will be one of the best ever!,,,,,
2, ....about whether or not Joe could have done such a horrible thing? Maybe or maybe not but I find Joe to be a total Nut Job and I knew him well far better than most. So many unanswered &amp; obvious questions but I won’t bring them up now! Law enforcement eventually will?,,,,,
0, The opening of a Cold Case against Psycho Joe Scarborough was not a Donald Trump original thought this has been going on for years long before I joined the chorus. In 2016 when Joe &amp; his wacky future ex-wife Mika would endlessly interview me I would always be thinking....,,,,,
2, The opening of a Cold Case against Psycho Joe Scarborough,,,,,
2, Sean Parnell is an American Hero. Conor Lamb has proven to be an American fraud and a puppet for Crazy Nancy Pelosi. He said he would NOT vote for her for Speaker and did. Will kill 2A. Voted to impeach (on nothing). A TOTAL &amp; COMPLETE Sean Parnell Endorsement! https://t.co/v1OnY0MI8m,,,,,
0, ....living in the state no matter who they are or how they got there will get one. That will be followed up with professionals telling all of these people many of whom have never even thought of voting before how and for whom to vote. This will be a Rigged Election. No way!,,,,,
2, There is NO WAY (ZERO!) that Mail-In Ballots will be anything less than substantially fraudulent. Mail boxes will be robbed ballots will be forged &amp; even illegally printed out &amp; fraudulently signed. The Governor of California is sending Ballots to millions of people anyone.....,,,,,
2, Joe Biden’s handling of the H1N1 Swine Flu was a complete and total disaster. Even polls on the matter were terrible!,,,,,
1, https://t.co/Ng5SIjmUAa,,,,,
1, RT @brithume: This might help explain why Trump doesn’t like to wear a mask in public. Biden today. https://t.co/9l1gw1ljBE,,,,,
0, Great reviews on our handling of Covid 19 sometimes referred to as the China Virus. Ventilators Testing Medical Supply Distribution we made a lot of Governors look very good - And got no credit for so doing. Most importantly we helped a lot of great people!,,,,,
0, Nobody in 50 years has been WEAKER on China than Sleepy Joe Biden. He was asleep at the wheel. He gave them EVERYTHING they wanted including rip-off Trade Deals. I am getting it all back!,,,,,
2, Sleepy Joe Biden (mostly his reps.) went crazy when I banned in late January people coming in from China. He called me “xenophobic” &amp; then went equally “nuts” when we let in 44000 people - until he was told they were American citizens coming home. He later apologized!,,,,,
0, Sean Parnell is an American Hero. Connor Lamm has proven to be an American fraud and a puppet for Crazy Nancy Pelosi. He said he would NOT vote for her for Speaker and did. Will kill 2A. Voted to impeach (on nothing).  A TOTAL &amp; COMPLETE Sean Parnell Endorsement! https://t.co/v1OnY0MI8m,,,,,
2, I have zero interest in moving the Republican National Convention to Doral in Miami as falsely reported by the Fake News @nytimes in order to stir up trouble. Ballroom is not nearly big enough &amp; would like to stay in N.C. whose gov. doesn’t even know if he can let people in? https://t.co/nqBBPv4VXS,,,,,
2, RT @DanScavino: https://t.co/D2hSdWKrut,,,,,
1, RT @realDonaldTrump: https://t.co/UQ4lBP1nor,,,,,
1, RT @Jim_Jordan: Liberty comes at the ultimate cost. On #MemorialDay we remember the brave men and women who gave their lives for our cou…,,,,,
2, RT @VinceMcMahon: The true meaning of Memorial Day is often forgotten. Remember all of those that made the ultimate sacrifice so that we ca…,,,,,
1, RT @TrumpGolfLA: Take time to honor the brave men and women who sacrificed their lives for our Country and our freedom. We will never ever…,,,,,
1, https://t.co/UQ4lBP1nor,,,,,
1, ....3 months and if I waited 3 years they would do their usual “hit” pieces anyway. They are sick with hatred and dishonesty. They are truly deranged! They don’t mention Sleepy Joe’s poor work ethic  or all of the time Obama spent on the golf course often flying to....,,,,,
2, ....Hawaii in a big fully loaded 747 to play. What did that do to the so-called Carbon Footprint? He also played moments after the brutal killing by ISIS of a wonderful young man. Totally inappropriate - and it was me who shattered 100% of the ISIS Caliphate. I was left a MESS!,,,,,
1, Some stories about the fact that in order to get outside and perhaps even a little exercise I played golf over the weekend. The Fake &amp; Totally Corrupt News makes it sound like a mortal sin - I knew this would happen! What they don’t say is that it was my first golf in almost...,,,,,
1, https://t.co/8fvJRDJREz,,,,,
1, https://t.co/U02F9CL0je,,,,,
1, RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!,,,,,
2, RT @realDonaldTrump: OBAMAGATE!,,,,,
0, TRANSITION TO GREATNESS! Get ready it is already happening again!,,,,,
2, HAPPY MEMORIAL DAY!,,,,,
2, ...to find with all of the jobs and economic development it brings another Republican National Convention site. This is not something I want to do. Thank you and I LOVE the people of North Carolina!,,,,,
1, ...full attendance in the Arena. In other words we would be spending  millions of dollars building the Arena to a very high standard without even knowing if the Democrat Governor would allow the Republican Party to fully occupy the space. Plans are being....,,,,,
2, ...made by many thousands of enthusiastic Republicans and others to head to beautiful North Carolina in August. They must be immediately given an answer by the Governor as to whether or not the space will be allowed to be fully occupied. If not we will be reluctantly forced...,,,,,
0, I love the Great State of North Carolina so much so that I insisted on having the Republican National Convention in Charlotte at the end of August. Unfortunately Democrat Governor @RoyCooperNC is still in Shutdown mood &amp; unable to guarantee that by August we will be allowed...,,,,,
1, MAKE AMERICA GREAT AGAIN!,,,,,
1, OBAMAGATE!,,,,,
1, Schools in our country should be opened ASAP. Much very good information now available. @SteveHiltonx @FoxNews,,,,,
1, RT @CDCtravel: Thinking about traveling? Before you go consider the following: • Is COVID-19 spreading where you’re going? • Is COVID-19…,,,,,
2, RT @CDCDirector: #Handwashing is one of the best ways to protect yourself and your family from getting sick. Learn when and how you should…,,,,,
2, RT @CDCDirector: Be mindful of social distancing this #MemorialDay weekend. Stay at least six feet from others to slow the spread of #COVID…,,,,,
2, RT @CDCtravel: If you need to travel within the US make sure you follow the guidance of local officials in the location you are departing…,,,,,
1, RT @trtworld: Japan is considering a fresh stimulus package worth over $929 billion that will consist mostly of financial aid programmes fo…,,,,,
1, RT @AP: With numerous precautions in place some congregants around the country headed for their churches synagogues and mosques days aft…,,,,,
2, RT @markknoller: Flags atop WH continue at half-staff this weekend to honor Coronavirus victims. https://t.co/IZXDjPegYg,,,,,
1, Having the G7 meeting in Washington is very important for those countries and the World! https://t.co/tWECoIlu6F,,,,,
1, Among many other very important events meetings and calls! https://t.co/0yNFtFpXpv,,,,,
2, I give and have given from the beginning my entire yearly salary $400000 to $450000 back to our government. Last check to HHS Covid relief. My great honor! https://t.co/Vv6Uyz9MkF,,,,,
2, Sleepy Joe’s representatives have just put out an ad saying that I went to play golf (exercise) today. They think I should stay in the White House at all times. What they didn’t say is that it’s the first time I’ve played golf in almost 3 months that Biden was constantly.....,,,,,
2, ...vacationing relaxing &amp; making shady deals with other countries &amp; that Barack was always playing golf doing much of his traveling in a fume spewing 747 to play golf in Hawaii - Once even teeing off immediately after announcing the gruesome death of a great young man by ISIS!,,,,,
1, The Democrats are trying to Rig the 2020 Election plain and simple! https://t.co/jlDhzGRnqa,,,,,
1, A disgrace. Total corruption! https://t.co/OH9rdeQUS9,,,,,
1, RT @realDonaldTrump: I HOPE ALL AFRICAN AMERICANS WILL READ AND STUDY THIS. 100% CORRECT. SLEEPY JOE WILL NEVER GET YOU THERE. HE NEVER HAS…,,,,,
1, Thank you. We love our boaters! https://t.co/AhjmAOKfDh,,,,,
1, https://t.co/iE2uvcVJhz,,,,,
1, RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!,,,,,
0, RT @realDonaldTrump: TRANSITION TO GREATNESS!,,,,,
0, Be sure to watch “Witch Hunt the Flynn Vindication” hosted by the very knowledgeable @GreggJarrett on @FoxNews tonight at 8:00 P.M. This is yet another part of the greatest Criminal Hoax in American History!,,,,,
2, RT @WestJournalism: 'The elites of his time the most literate people the editors of the largest and most influential magazines the intel…,,,,,
2," RT @ksorbs: This should be on a giant billboard in every city in the US. ""America does not need to see the tax return of a billionaire who…",,,,,
1, You are right! https://t.co/MWUq0yf8ii,,,,,
1, RT @thehill: Trump considers forming panel to investigate anti-conservative bias on social media: report https://t.co/7381Siae49 https://t.…,,,,,
2, RT @JohnWHuber: When you’re right you’re right,,,,,
0, I always stand with leaders who weren’t afraid to stand early with me. That’s why I am supporting a true conservative @DanJohnstonND for State Treasurer of North Dakota! https://t.co/CDkKewRcYz,,,,,
1, Cases numbers and deaths are going down all over the Country!,,,,,
1, A lot of interest in this story about Psycho Joe Scarborough. So a young marathon runner just happened to faint in his office hit her head on his desk &amp; die? I would think there is a lot more to this story than that? An affair? What about the so-called investigator? Read story! https://t.co/CjBXBXxoNS,,,,,
0, Allen get well soon! https://t.co/eJMzelycRU,,,,,
2, The United States cannot have all Mail In Ballots. It will be the greatest Rigged Election in history. People grab them from mailboxes print thousands of forgeries and “force” people to sign. Also forge names. Some absentee OK when necessary. Trying to use Covid for this Scam!,,,,,
1, “Full Measure with Sheryl Attkisson” interview on @ABC at 10:00 A.M. Sunday. Enjoy!,,,,,
0, Michael Moore Torches Biden: He Lacks ‘Necessary Enthusiasm‘ to Beat Trump https://t.co/EC6bt2e56n via @BreitbartNews.  Well he was right in 2016 and we do have great enthusiasm. Many say done a fantastic job! DJT,,,,,
2, RT @WhiteHouse: President @realDonaldTrump will travel to Central Florida to watch as @NASA and @SpaceX launch astronauts from American soi…,,,,,
2, RT @JustBeaTee: Democrats must remember that black people are not commodity. A political party does not determine our value. We see how wel…,,,,,
1, RT @standamericanow: This week Iran’s parliament passed a new anti-Zionism law that doubles down on its support for Palestinian terrorist…,,,,,
1, Thank you Herschel! https://t.co/JbPC3TxhPo,,,,,
2, RT @SaraCarterDC: This is What '#QuidProQuo' with #Ukraine looks likePlease retweet this video so everyone of your friends can watch it$1…,,,,,
2, RT @JBaker31826004: I predict that @FLOTUS Melania will become the most popular FLOTUS since Jackie Kennedy. She is quietly working into th…,,,,,
1, RT @seanhannity: Clinton Aides Spent Millions to Push Russia Hoax AFTER Trump’s Inauguration https://t.co/lbMnOOvG1H,,,,,
1, RT @JohnKStahlUSA: To protect PolyGrip during this pandemic we have developed 2 options. With the DJT option she will be able to tongue a…,,,,,
2, RT @JohnKStahlUSA: We just got a look at the official portrait for the self proclaimed Governor of Georgia. She fought a tough race kissed…,,,,,
2, RT @JohnKStahlUSA: Friendly Reminder: If you stay home in November and don’t get every person you know voting for DJT these 3 will be the…,,,,,
0, RT @JohnKStahlUSA: Anyone know what’s going on with PolyGrip? I’ve noticed lately that her face seems glossy and she is sporting a poorly m…,,,,,
0, RT @KamVTV: Well I’ll be... South Carolina election ballots found in Maryland this week.  https://t.co/amiMXC8OMA,,,,,
1, RT @JohnKStahlUSA: Is anyone buying that DimLib’s massive Vote-by-Mail plan is secure? I can confirm that voter rolls are 33% full of moved…,,,,,
2, RT @TrumpWarRoom: WATCH: Joe Biden struggles to use a cell phone. https://t.co/GdVd1i3PzQ,,,,,
2, RT @JohnKStahlUSA: What a great idea. DJT wants to start the “Shills in Space” concept. Excellent. #maga #kag #tcot,,,,,
1, RT @JohnKStahlUSA: I like the way Kayleigh sets the agenda. She doesn’t take any crap off these pathetic worthless clueless DNC Shills. I…,,,,,
2, RT @JohnKStahlUSA: When I see 1 of those polls that has Malarkey the Racist up 6-8 points everywhere I’m thinking they must have called th…,,,,,
1, RT @Stonewall_77: This Is Whom You Disrespect When You Dishonor Our Flag.Please Retweet#MAGA #WeThePeople@CarmineZozzora @bfraser747 htt…,,,,,
1, I HOPE ALL AFRICAN AMERICANS WILL READ AND STUDY THIS. 100% CORRECT. SLEEPY JOE WILL NEVER GET YOU THERE. HE NEVER HAS IN THE PAST. I WILL &amp; HAVE!!! https://t.co/j15DLun4KV,,,,,
0, Many physicians agree with you. Also some very good studies! @SteveFDA @US_FDA https://t.co/NDHSTqvhoa,,,,,
2, RT @realDonaldTrump: Who are the 4%? A RINO or two!,,,,,
1, RT @realDonaldTrump: Sleepy Joe cannot bring us to greatness. He is the reason I’m here!,,,,,
1, True! https://t.co/XvsYuVh1bN,,,,,
2, RT @TeamTrump: President @realDonaldTrump says he doesn’t think Joe Biden remembers what he did yesterday https://t.co/qesVGyDPFm,,,,,
1, A blow to her head? Body found under his desk? Left Congress suddenly? Big topic of discussion in Florida...and he’s a Nut Job (with bad ratings). Keep digging use forensic geniuses! https://t.co/UxbS5gZecd,,,,,
2, Thank you! https://t.co/8PjR0aswHY,,,,,
2, RT @AMErikaNGIRLLL: WATCH⬇️New Jersey Public School Teacher Tells Students Playing soccer➖’I hope you die!➖I hope you both get the Corona v…,,,,,
2, RT @AMErikaNGIRLLL: The highest ranking members of the FBI  NSA and CIA were not only spying on Trump- They were trying to subvert his ele…,,,,,
2," RT @TrumpWarRoom: WATCH: @KatrinaPierson explains Joe Biden's long pattern of taking Black voters for granted.""Joe Biden thinks that the…",,,,,
2," RT @RyanAFournier: This morning Joe Biden said “If you have a problem figuring out whether you're for me or Trump then you ain't black.""…",,,,,
1, TRANSITION TO GREATNESS!,,,,,
1, MAKE AMERICA GREAT AGAIN!,,,,,
2, ....price. You should drop out of the race &amp; pray that super liberal @DougJones a weak &amp; pathetic puppet for Crazy Nancy Pelosi &amp; Cryin’ Chuck Schumer gets beaten badly. He voted for impeachment based on “ZERO”. Disgraced Alabama. Coach @TTuberville will be a GREAT Senator!,,,,,
2, Jeff you had your chance &amp; you blew it. Recused yourself ON DAY ONE (you never told me of a problem) and ran for the hills. You had no courage &amp; ruined many lives. The dirty cops &amp; others got caught by better &amp; stronger people than you. Hopefully this slime will pay a big... https://t.co/AJPUBTPCnT,,,,,
